sample_,var_,count,varcode,varname
20,3028,18.0,Eri-T,Erica-type
20,3284,13.0,Glo.cf.f,Glomus cf. fasciculatum
20,3301,49.0,Pse.c,Pseudoschizaea circula
20,3462,7.0,T114,Type 114
20,3910,4.0,Flc.t.ud,Filicales triletes undiff.
20,3911,33.0,Flc.m.ud,Filicales monoletes undiff.
20,4366,37.0,Que.py-T,Quercus pyrenaica-type
21,32,56.0,Aln,Alnus
21,80,1.0,Ast-T,Aster-type
21,95,100.0,Bet,Betula
21,124,1.0,Cal.v,Calluna vulgaris
21,233,1.0,Cypae,Cyperaceae
21,349,33.0,Graae,Gramineae
21,352,1.0,Hed,Hedera
21,945,121.0,Lyc,Lycopodium
21,953,3.0,Osm.r,Osmunda regalis
21,958,41.0,Ppd.v-T,Polypodium vulgare-type
21,961,14.0,Ptd.a,Pteridium aquilinum
21,1338,17.0,Pin.s-T,Pinus sylvestris-type
21,3018,1.0,Cicoid,Cichorioideae
21,3028,27.0,Eri-T,Erica-type
21,3043,4.0,Crl,Cerealia
21,3284,22.0,Glo.cf.f,Glomus cf. fasciculatum
21,3301,16.0,Pse.c,Pseudoschizaea circula
21,3462,2.0,T114,Type 114
21,3910,8.0,Flc.t.ud,Filicales triletes undiff.
21,3911,49.0,Flc.m.ud,Filicales monoletes undiff.
21,4266,2.0,T107,Type 107
21,4271,3.0,T225,Type 225
21,4274,2.0,Spi.cf.s,Spirogyra cf. scrobiculata
21,4366,64.0,Que.py-T,Quercus pyrenaica-type
22,32,6.0,Aln,Alnus
22,80,2.0,Ast-T,Aster-type
22,95,25.0,Bet,Betula
22,124,1.0,Cal.v,Calluna vulgaris
22,217,1.0,Cor,Corylus
22,233,2.0,Cypae,Cyperaceae
22,349,11.0,Graae,Gramineae
22,352,2.0,Hed,Hedera
22,401,1.0,Lab,Labiatae
22,411,1.0,Leg,Leguminosae
22,763,2.0,Scoae,Scrophulariaceae
22,945,332.0,Lyc,Lycopodium
22,953,1.0,Osm.r,Osmunda regalis
22,958,13.0,Ppd.v-T,Polypodium vulgare-type
22,961,44.0,Ptd.a,Pteridium aquilinum
22,1100,1.0,Lilae.ud,Liliaceae undiff.
22,1338,11.0,Pin.s-T,Pinus sylvestris-type
22,3018,2.0,Cicoid,Cichorioideae
22,3028,13.0,Eri-T,Erica-type
22,3043,9.0,Crl,Cerealia
22,3284,29.0,Glo.cf.f,Glomus cf. fasciculatum
22,3301,33.0,Pse.c,Pseudoschizaea circula
22,3462,6.0,T114,Type 114
22,3910,6.0,Flc.t.ud,Filicales triletes undiff.
22,3911,13.0,Flc.m.ud,Filicales monoletes undiff.
22,4266,1.0,T107,Type 107
22,4274,1.0,Spi.cf.s,Spirogyra cf. scrobiculata
22,4366,26.0,Que.py-T,Quercus pyrenaica-type
23,32,13.0,Aln,Alnus
23,95,47.0,Bet,Betula
23,124,1.0,Cal.v,Calluna vulgaris
23,233,4.0,Cypae,Cyperaceae
23,349,8.0,Graae,Gramineae
23,352,2.0,Hed,Hedera
23,945,198.0,Lyc,Lycopodium
23,958,29.0,Ppd.v-T,Polypodium vulgare-type
23,961,50.0,Ptd.a,Pteridium aquilinum
23,1337,2.0,Pis.p,Pinus pinaster
23,1338,7.0,Pin.s-T,Pinus sylvestris-type
23,1478,2.0,Pla.c-T,Plantago coronopus-type
23,2303,1.0,But,Butomus
23,3028,17.0,Eri-T,Erica-type
23,3284,7.0,Glo.cf.f,Glomus cf. fasciculatum
23,3301,24.0,Pse.c,Pseudoschizaea circula
23,3462,1.0,T114,Type 114
23,3911,7.0,Flc.m.ud,Filicales monoletes undiff.
23,4052,1.0,Sod-T,Sordaria-type
23,4266,1.0,T107,Type 107
23,4274,3.0,Spi.cf.s,Spirogyra cf. scrobiculata
23,4366,52.0,Que.py-T,Quercus pyrenaica-type
24,32,18.0,Aln,Alnus
24,95,55.0,Bet,Betula
24,349,25.0,Graae,Gramineae
24,945,462.0,Lyc,Lycopodium
24,958,55.0,Ppd.v-T,Polypodium vulgare-type
24,961,53.0,Ptd.a,Pteridium aquilinum
24,1337,6.0,Pis.p,Pinus pinaster
24,1338,24.0,Pin.s-T,Pinus sylvestris-type
24,3301,13.0,Pse.c,Pseudoschizaea circula
24,3910,5.0,Flc.t.ud,Filicales triletes undiff.
24,3911,7.0,Flc.m.ud,Filicales monoletes undiff.
24,4271,5.0,T225,Type 225
24,4274,3.0,Spi.cf.s,Spirogyra cf. scrobiculata
24,4366,62.0,Que.py-T,Quercus pyrenaica-type
25,32,65.0,Aln,Alnus
25,95,169.0,Bet,Betula
25,233,13.0,Cypae,Cyperaceae
25,349,42.0,Graae,Gramineae
25,945,752.0,Lyc,Lycopodium
25,958,198.0,Ppd.v-T,Polypodium vulgare-type
25,961,103.0,Ptd.a,Pteridium aquilinum
25,1337,9.0,Pis.p,Pinus pinaster
25,1338,15.0,Pin.s-T,Pinus sylvestris-type
25,2303,3.0,But,Butomus
25,3028,47.0,Eri-T,Erica-type
25,3043,2.0,Crl,Cerealia
25,3301,27.0,Pse.c,Pseudoschizaea circula
